| Domain | Total Case Numbers | Case ID Range | Initial Author | Validator | Rule-based Score | Score from Other | LLM Score | Final Score |
|--------|-------------------|---------------|----------------|-----------|------------------|------------------|-----------|-------------|
| Daily Life (D1) | 910 | T3-A2-001-T3-BucketLarge-E-2.125 | Arya Marwaha, Chenyang Dai, Chinmay Pimpalkhare... | Arya Marwaha, Chenyang Dai, Chinmay Pimpalkhare... | 4.00 | 0.68 | 4.30 | 3.49 |
| History (D2) | 370 | T3-BucketF-0001-T3-F.99 | April Yang, Mingyang Wang, Sameer Vijay | Mingyang Wang, Sameer Vijay | 3.00 | 0.84 | 3.50 | 3.23 |
| Markets & Finance (D3) | 635 | G.2-G.10 | Samantha Afra van Rijs, Yuqiao Zeng, deveen@stanford.edu... | Deveen Manitha Harischandra, Manolo Alvarez, Samantha Afra van Rijs... | 4.50 | 0.77 | 5.25 | 4.03 |
| Medicine & Health (D4) | 1522 | T3-BucketA-0001-T3-BucketLarge-J-A2.1.210 | 4, A2, Ankit Rai... | Ankit Rai, Daphne Barretto, Gia Ancone... | 4.00 | 0.91 | 4.42 | 3.90 |
| Economics (D5) | 507 | T1-BucketSmall-A-5.372-T3-BucketLarge-B-8.00 | Chris Philip James Pearce, Mason Hu, Samantha Afra van Rijs... | Chris Philip James Pearce, Mason Hu, Samantha Afra van Rijs... | 3.75 | 0.74 | 4.00 | 3.44 |
| Environment & Climate (D6) | 292 | T3-BucketD-0097-T3-BucketH-999 | Samantha Afra van Rijs, Veljko Skarich | NOT ASSIGNED, Samantha Afra van Rijs, Veljko Skarich | 3.00 | 0.41 | 3.00 | 2.40 |
| Law & Ethics (D7) | 584 | T3-BucketD-0086-T3-BucketLarge-C-7171 | Andy Ouyang, Matthew John Hayes, Samantha Afra van Rijs | Andy Ouyang, Matthew John Hayes, Samantha Afra van Rijs | 4.67 | 0.91 | 5.50 | 4.39 |
| AI & Technology (D8) | 615 | T3-BucketD-0022-T3-BucketLarge-I-L3-060 | Alessandro Balzi, Arya Marwaha, Fernando Torres Navarrete... | Alanood, Alessandro Balzi, Samantha Afra van Rijs | 4.00 | 0.85 | 4.25 | 3.76 |
| Sports & Performance (D9) | 545 | T3-BucketD-0001-T3-BucketLarge-D9-9.542 | Manolo Alvarez, Matt Wolfman, Samantha Afra van Rijs... | Manolo Alvarez, Matt Wolfman, Samantha Afra van Rijs... | 4.25 | 0.84 | 4.88 | 3.97 |
| Social Science (D10) | 492 | T3-BucketD-0011-T3-BucketLarge-J-A2.1.9 | Daphne Barretto, Gia Ancone, Kelvin Christian... | Daphne Barretto, Gia Ancone, Manolo Alvarez... | 4.00 | 0.75 | 4.50 | 3.66 |
| Agriculture | 1 | T3-BucketD-0165 | Samantha Afra van Rijs | Samantha Afra van Rijs | 4.00 | N/A | 4.50 | 3.61 |
| Arts | 9 | T3-BucketD-0013-T3-BucketD-0164 | Samantha Afra van Rijs, Yuqiao Zeng | Manolo Alvarez, Samantha Afra van Rijs | 4.50 | 0.85 | 5.25 | 4.17 |
| Employment | 2 | T3-BucketD-0061-T3-BucketD-0075 | Samantha Afra van Rijs | Samantha Afra van Rijs | 4.00 | N/A | 4.50 | 3.61 |
| Media | 1 | T3-BucketD-0053 | Samantha Afra van Rijs | Manolo Alvarez | 4.00 | N/A | 4.50 | 3.61 |
| Military | 1 | T3-BucketD-0149 | Samantha Afra van Rijs | Samantha Afra van Rijs | 4.00 | N/A | 4.50 | 3.61 |
| Philosophy | 1 | T3-BucketD-0154 | Samantha Afra van Rijs | Samantha Afra van Rijs | 4.00 | N/A | 4.50 | 3.61 |
| Physics | 2 | T3-BucketD-0139-T3-BucketD-0161 | Samantha Afra van Rijs | Samantha Afra van Rijs | 4.00 | N/A | 4.50 | 3.61 |
| Science | 1 | T3-BucketD-0018 | Yuqiao Zeng | Samantha Afra van Rijs | 5.00 | 0.85 | 6.00 | 4.51 |
| Transportation | 3 | T3-BucketD-0054-T3-BucketD-0158 | Samantha Afra van Rijs | Manolo Alvarez, Samantha Afra van Rijs | 4.00 | N/A | 4.50 | 3.61 |
| Unknown | 413 | T3-BucketLarge-B-1.10-T3-BucketLarge-B-D5-L3-topup-24 | Atanu Mukherjee, Chris Philip James Pearce | Atanu Mukherjee, Chris Philip James Pearce | 3.00 | 0.92 | 2.50 | 3.13 |
